PID,BID,File,INS,DEL,MOD
Chart,1,AbstractCategoryItemRenderer.java,0,0,1
Chart,2,DatasetUtilities.java,14,0,0
Chart,3,TimeSeries.java,2,0,0
Chart,4,XYPlot.java,2,0,0
Chart,5,XYSeries.java,4,0,1
Chart,6,ShapeList.java,7,0,1
Chart,7,TimePeriodValues.java,0,0,2
Chart,8,Week.java,0,0,1
Chart,9,TimeSeries.java,0,0,1
Chart,10,StandardToolTipTagFragmentGenerator.java,0,0,1
Chart,11,ShapeUtilities.java,0,0,1
Chart,12,MultiplePiePlot.java,0,0,1
Chart,13,BorderArrangement.java,0,0,1
Chart,14,CategoryPlot.java,6,0,0
Chart,14,XYPlot.java,6,0,0
Chart,15,PiePlot.java,5,0,0
Chart,16,DefaultIntervalCategoryDataset.java,0,0,3
Chart,17,TimeSeries.java,1,0,1
Chart,18,DefaultKeyedValues.java,1,2,1
Chart,18,DefaultKeyedValues2D.java,9,0,0
Chart,19,CategoryPlot.java,6,0,0
Chart,20,ValueMarker.java,0,0,1
Chart,21,DefaultBoxAndWhiskerCategoryDataset.java,39,0,0
Chart,22,KeyedObjects2D.java,29,0,3
Chart,23,MinMaxCategoryRenderer.java,19,0,0
Chart,24,GrayPaintScale.java,0,0,1
Chart,25,StatisticalBarRenderer.java,12,0,2
Chart,26,Axis.java,2,0,0
Closure,1,RemoveUnusedVars.java,3,0,0
Closure,2,TypeCheck.java,4,0,0
Closure,3,FlowSensitiveInlineVariables.java,6,0,2
Closure,4,NamedType.java,0,0,2
Closure,5,InlineObjectLiterals.java,3,0,0
Closure,6,TypeValidator.java,0,8,0
Closure,7,ChainableReverseAbstractInterpreter.java,4,0,1
Closure,8,CollapseVariableDeclarations.java,4,0,0
Closure,9,ProcessCommonJSModules.java,1,0,1
Closure,10,NodeUtil.java,0,0,1
Closure,11,TypeCheck.java,0,2,0
Closure,12,MaybeReachingVariableUse.java,6,0,0
Closure,13,PeepholeOptimizationsPass.java,0,0,1
Closure,14,ControlFlowAnalysis.java,0,0,1
Closure,15,FlowSensitiveInlineVariables.java,3,0,0
Closure,16,ScopedAliases.java,6,0,3
Closure,17,TypedScopeCreator.java,4,0,1
Closure,18,Compiler.java,0,0,1
Closure,19,ChainableReverseAbstractInterpreter.java,2,0,0
Closure,20,PeepholeSubstituteAlternateSyntax.java,1,0,1
Closure,21,CheckSideEffects.java,0,17,2
Closure,22,CheckSideEffects.java,0,24,2
Closure,23,PeepholeFoldConstants.java,6,0,1
Closure,24,ScopedAliases.java,1,0,3
Closure,25,TypeInference.java,0,2,2
Closure,26,ProcessCommonJSModules.java,5,0,0
Closure,27,IR.java,3,0,3
Closure,28,InlineCostEstimator.java,4,0,0
Closure,29,InlineObjectLiterals.java,10,0,0
Closure,30,FlowSensitiveInlineVariables.java,0,0,1
Closure,30,MustBeReachingVariableDef.java,8,0,1
Closure,31,Compiler.java,0,1,0
Closure,32,JsDocInfoParser.java,15,3,0
Closure,33,PrototypeObjectType.java,3,0,0
Closure,34,CodeGenerator.java,0,2,2
Closure,34,CodePrinter.java,0,0,1
Closure,35,TypeInference.java,0,13,2
Closure,36,InlineVariables.java,3,0,0
Closure,37,NodeTraversal.java,0,0,1
Closure,37,parsing/IRFactory.java,4,0,0
Closure,38,CodeConsumer.java,0,0,1
Closure,39,PrototypeObjectType.java,0,0,3
Closure,40,NameAnalyzer.java,0,2,1
Closure,41,FunctionTypeBuilder.java,9,0,0
Closure,42,IRFactory.java,7,0,0
Closure,43,TypedScopeCreator.java,17,0,0
Closure,44,CodeConsumer.java,2,0,0
Closure,45,RemoveUnusedVars.java,4,0,2
Closure,46,RecordType.java,0,16,0
Closure,47,debugging/sourcemap/SourceMapConsumerV3.java,0,0,2
Closure,47,javascript/jscomp/SourceMap.java,5,0,1
Closure,48,TypedScopeCreator.java,3,0,4
Closure,49,MakeDeclaredNamesUnique.java,14,8,0
Closure,50,PeepholeReplaceKnownMethods.java,5,0,1
Closure,51,CodeConsumer.java,0,0,1
Closure,52,CodeGenerator.java,0,0,1
Closure,53,InlineObjectLiterals.java,4,0,0
Closure,54,jscomp/TypedScopeCreator.java,6,0,1
Closure,54,rhino/jstype/FunctionType.java,4,1,1
Closure,55,FunctionRewriter.java,1,0,1
Closure,56,SourceFile.java,4,0,0
Closure,57,ClosureCodingConvention.java,0,0,1
Closure,58,LiveVariablesAnalysis.java,4,0,0
Closure,59,Compiler.java,1,0,1
Closure,60,NodeUtil.java,5,0,0
Closure,61,NodeUtil.java,6,0,0
Closure,62,LightweightMessageFormatter.java,0,0,1
Closure,63,LightweightMessageFormatter.java,0,0,1
Closure,64,Compiler.java,0,0,4
Closure,65,CodeGenerator.java,0,0,1
Closure,66,TypeCheck.java,2,0,0
Closure,67,AnalyzePrototypeProperties.java,0,0,1
Closure,68,JsDocInfoParser.java,2,0,1
Closure,69,TypeCheck.java,7,0,0
Closure,70,TypedScopeCreator.java,0,0,1
Closure,71,CheckAccessControls.java,0,0,1
Closure,72,FunctionToBlockMutator.java,2,0,0
Closure,72,RenameLabels.java,0,0,1
Closure,73,CodeGenerator.java,0,0,1
Closure,74,PeepholeFoldConstants.java,13,0,2
Closure,75,NodeUtil.java,3,0,1
Closure,76,DeadAssignmentsElimination.java,33,2,4
Closure,77,CodeGenerator.java,1,0,0
Closure,78,PeepholeFoldConstants.java,0,2,0
Closure,79,Normalize.java,0,0,1
Closure,79,VarCheck.java,1,0,0
Closure,80,NodeUtil.java,2,0,0
Closure,81,IRFactory.java,7,0,0
Closure,82,JSType.java,2,0,1
Closure,83,CommandLineRunner.java,3,0,1
Closure,84,IRFactory.java,27,0,0
Closure,85,UnreachableCodeElimination.java,7,13,1
Closure,86,NodeUtil.java,0,0,1
Closure,87,PeepholeSubstituteAlternateSyntax.java,12,0,1
Closure,88,DeadAssignmentsElimination.java,6,0,0
Closure,89,CollapseProperties.java,3,0,0
Closure,89,GlobalNamespace.java,0,0,1
Closure,90,jscomp/FunctionTypeBuilder.java,0,0,1
Closure,90,rhino/jstype/FunctionType.java,3,0,0
Closure,91,CheckGlobalThis.java,9,0,0
Closure,92,ProcessClosurePrimitives.java,0,0,1
Closure,93,ProcessClosurePrimitives.java,0,0,1
Closure,94,NodeUtil.java,19,0,0
Closure,95,TypedScopeCreator.java,7,0,0
Closure,96,TypeCheck.java,3,0,1
Closure,97,PeepholeFoldConstants.java,1,0,1
Closure,98,ReferenceCollectingCallback.java,19,0,0
Closure,99,CheckGlobalThis.java,5,0,1
Closure,100,CheckGlobalThis.java,7,0,1
Closure,101,CommandLineRunner.java,0,2,1
Closure,102,Normalize.java,0,0,1
Closure,103,ControlFlowAnalysis.java,1,0,0
Closure,103,DisambiguateProperties.java,7,0,0
Closure,104,UnionType.java,0,0,1
Closure,105,FoldConstants.java,2,0,5
Closure,106,jscomp/GlobalNamespace.java,4,0,0
Closure,106,rhino/JSDocInfoBuilder.java,0,2,0
Closure,107,CommandLineRunner.java,1,0,0
Closure,108,ScopedAliases.java,3,0,1
Closure,109,JsDocInfoParser.java,4,0,1
Closure,110,jscomp/ScopedAliases.java,18,0,4
Closure,110,rhino/Node.java,3,0,0
Closure,111,ClosureReverseAbstractInterpreter.java,1,0,1
Closure,112,TypeInference.java,6,0,3
Closure,113,ProcessClosurePrimitives.java,0,0,1
Closure,114,NameAnalyzer.java,0,0,1
Closure,115,FunctionInjector.java,0,11,0
Closure,116,FunctionInjector.java,12,0,0
Closure,117,TypeValidator.java,12,12,0
Closure,118,DisambiguateProperties.java,3,0,0
Closure,119,GlobalNamespace.java,1,0,0
Closure,120,ReferenceCollectingCallback.java,3,0,0
Closure,121,InlineVariables.java,2,0,1
Closure,122,IRFactory.java,1,0,1
Closure,123,CodeGenerator.java,0,0,1
Closure,124,ExploitAssigns.java,2,0,0
Closure,125,TypeCheck.java,0,0,1
Closure,126,MinimizeExitPoints.java,0,4,0
Closure,127,UnreachableCodeElimination.java,9,0,1
Closure,128,CodeGenerator.java,3,0,1
Closure,129,PrepareAst.java,3,0,0
Closure,130,CollapseProperties.java,0,0,1
Closure,131,TokenStream.java,1,0,1
Closure,132,PeepholeSubstituteAlternateSyntax.java,2,0,1
Closure,133,JsDocInfoParser.java,1,0,0
Lang,1,NumberUtils.java,9,0,2
Lang,2,LocaleUtils.java,3,0,0
Lang,3,NumberUtils.java,4,0,0
Lang,4,LookupTranslator.java,0,0,4
Lang,5,LocaleUtils.java,21,0,0
Lang,6,CharSequenceTranslator.java,0,0,1
Lang,7,NumberUtils.java,3,3,0
Lang,8,FastDatePrinter.java,1,2,0
Lang,9,FastDateParser.java,3,0,0
Lang,10,FastDateParser.java,0,9,0
Lang,11,RandomStringUtils.java,4,0,0
Lang,12,RandomStringUtils.java,7,0,0
Lang,13,SerializationUtils.java,19,0,0
Lang,14,StringUtils.java,3,0,0
Lang,15,TypeUtils.java,0,0,4
Lang,16,NumberUtils.java,0,0,1
Lang,17,CharSequenceTranslator.java,0,6,3
Lang,18,FastDateFormat.java,0,0,3
Lang,19,NumericEntityUnescaper.java,6,0,3
Lang,20,StringUtils.java,0,0,2
Lang,21,DateUtils.java,0,0,1
Lang,22,Fraction.java,6,0,1
Lang,23,ExtendedMessageFormat.java,31,0,0
Lang,24,NumberUtils.java,0,0,1
Lang,25,EntityArrays.java,0,0,27
Lang,26,FastDateFormat.java,0,0,1
Lang,27,NumberUtils.java,3,0,1
Lang,28,NumericEntityUnescaper.java,6,0,0
Lang,29,SystemUtils.java,0,0,1
Lang,30,StringUtils.java,38,0,5
Lang,31,StringUtils.java,8,0,0
Lang,32,HashCodeBuilder.java,14,5,3
Lang,33,ClassUtils.java,0,0,1
Lang,34,ToStringStyle.java,0,0,2
Lang,35,ArrayUtils.java,0,0,2
Lang,36,NumberUtils.java,8,0,1
Lang,37,ArrayUtils.java,8,0,0
Lang,38,FastDateFormat.java,1,0,0
Lang,39,StringUtils.java,3,0,0
Lang,40,StringUtils.java,7,0,1
Lang,41,ClassUtils.java,19,0,2
Lang,42,Entities.java,5,0,2
Lang,43,ExtendedMessageFormat.java,1,0,0
Lang,44,NumberUtils.java,3,0,0
Lang,45,WordUtils.java,3,0,0
Lang,46,StringEscapeUtils.java,3,0,7
Lang,47,StrBuilder.java,6,0,0
Lang,48,EqualsBuilder.java,4,0,0
Lang,49,Fraction.java,3,0,0
Lang,50,FastDateFormat.java,0,4,6
Lang,51,BooleanUtils.java,1,0,0
Lang,52,StringEscapeUtils.java,4,0,0
Lang,53,DateUtils.java,0,0,2
Lang,54,LocaleUtils.java,3,0,0
Lang,55,StopWatch.java,2,0,0
Lang,56,FastDateFormat.java,4,0,2
Lang,57,LocaleUtils.java,0,0,1
Lang,58,NumberUtils.java,0,1,1
Lang,59,StrBuilder.java,0,0,1
Lang,60,StrBuilder.java,0,0,2
Lang,61,StrBuilder.java,0,0,1
Lang,62,Entities.java,8,0,0
Lang,63,DurationFormatUtils.java,0,17,3
Lang,64,ValuedEnum.java,21,0,0
Lang,65,DateUtils.java,30,0,0
Math,1,BigFraction.java,3,0,0
Math,1,Fraction.java,3,0,0
Math,2,HypergeometricDistribution.java,0,0,1
Math,3,MathArrays.java,3,0,0
Math,4,threed/SubLine.java,3,0,0
Math,4,twod/SubLine.java,3,0,0
Math,5,Complex.java,0,0,1
Math,6,BaseOptimizer.java,0,0,1
Math,6,nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,0,1,3
Math,6,nonlinear/scalar/noderiv/CMAESOptimizer.java,1,0,0
Math,6,nonlinear/scalar/noderiv/PowellOptimizer.java,0,1,2
Math,6,nonlinear/scalar/noderiv/SimplexOptimizer.java,0,0,2
Math,6,nonlinear/vector/jacobian/GaussNewtonOptimizer.java,0,1,2
Math,6,nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,0,0,3
Math,7,AbstractIntegrator.java,2,3,6
Math,8,DiscreteDistribution.java,0,0,2
Math,9,Line.java,1,0,1
Math,10,DSCompiler.java,1,0,0
Math,11,MultivariateNormalDistribution.java,0,0,1
Math,12,BitsStreamGenerator.java,3,0,1
Math,13,AbstractLeastSquaresOptimizer.java,9,0,0
Math,14,Weight.java,0,3,1
Math,14,jacobian/AbstractLeastSquaresOptimizer.java,9,0,0
Math,15,FastMath.java,1,0,1
Math,16,FastMath.java,19,0,2
Math,17,Dfp.java,4,0,0
Math,18,CMAESOptimizer.java,2,0,4
Math,19,CMAESOptimizer.java,13,0,0
Math,20,CMAESOptimizer.java,1,0,1
Math,21,RectangularCholeskyDecomposition.java,4,1,9
Math,22,FDistribution.java,0,0,1
Math,22,UniformRealDistribution.java,0,0,1
Math,23,BrentOptimizer.java,7,0,2
Math,24,BrentOptimizer.java,0,0,2
Math,25,HarmonicFitter.java,3,0,0
Math,26,Fraction.java,0,0,2
Math,27,Fraction.java,0,0,1
Math,28,SimplexSolver.java,4,0,0
Math,29,OpenMapRealVector.java,12,1,3
Math,30,MannWhitneyUTest.java,0,0,1
Math,31,ContinuedFraction.java,0,20,13
Math,32,PolygonsSet.java,0,0,1
